,0
directory_length,0.12282889193366651
length_url,0.11457285169975855
qty_slash_url,0.09058061485892846
qty_slash_directory,0.08729040115814381
qty_dot_domain,0.06739238011380581
file_length,0.059502970483141196
domain_length,0.05802598185975649
qty_vowels_domain,0.04828836288923793
qty_dot_directory,0.03902708608912897
qty_dot_url,0.03404080235898583
qty_hyphen_url,0.031919466095091886
qty_hyphen_directory,0.028797847261528165
qty_dot_file,0.023662003800812834
params_length,0.015224265410886825
qty_hyphen_domain,0.012019087992390745
